outgoing_mins_per_month,outgoing_sms_per_month,monthly_mb,use_id
21.97,4.82,1557.33,22787
1710.08,136.88,7267.55,22788
1710.08,136.88,7267.55,22789
94.46,35.17,519.12,22790
71.59,79.26,1557.33,22792
71.59,79.26,1557.33,22793
71.59,79.26,519.12,22794
71.59,79.26,519.12,22795
30.92,22.77,3114.67,22799
69.8,14.7,25955.55,22801
554.41,150.06,3114.67,22804
189.1,24.08,519.12,22805
283.3,107.47,15573.33,22806
324.34,92.52,519.12,22808
797.06,7.67,519.12,22813
797.06,7.67,15573.33,22814
797.06,7.67,15573.33,22815
797.06,7.67,15573.33,22816
797.06,7.67,15573.33,22817
78.8,327.33,10382.21,22819
78.8,327.33,15573.33,22820
78.8,327.33,15573.33,22822
164.1,192.64,3114.67,22823
208.26,91.76,5191.12,22824
681.44,47.35,1271.39,22829
324.27,91.5,519.12,22830
85.97,26.94,407.01,22831
244.88,105.95,1557.33,22832
135.09,42.02,5191.12,22833
57.49,16.73,15573.33,22839
184.63,153.86,3114.67,22840
103.97,234.72,1557.33,22849
103.97,234.72,1557.33,22850
420.21,274.76,519.12,22852
420.21,274.76,519.12,22853
99.23,35.58,519.12,22854
300.47,169.32,3114.67,22855
21.75,16.21,1557.33,22856
1221.85,69.2,6229.33,22858
74.59,150.59,1038.21,22861
74.59,150.59,1038.21,22862
189.33,7.67,1557.33,22863
67.15,39.03,3114.67,22864
67.15,39.03,3114.67,22865
67.15,39.03,5191.12,22866
29.54,34.78,33.79,22871
109.32,27.86,1557.33,22873
59.54,52.64,519.12,22874
249.26,253.22,1557.33,22875
249.26,253.22,1557.33,22876
287.74,33.97,1557.33,22879
83.46,114.06,3114.67,22880
128.34,1.77,7469.79,22881
43.03,0.47,2076.45,22882
43.03,0.47,2076.45,22883
43.03,0.47,2076.45,22884
227.51,98.66,519.12,22885
74.23,47.4,1557.33,22886
16.24,18.82,1557.33,22887
125.32,38.53,3114.67,22888
316.08,435.29,1620.05,22889
28.85,30.22,3114.67,22890
205.11,273.75,16611.55,22891
67.35,15.38,1557.33,22892
145.55,11.5,3114.67,22895
145.55,11.5,3114.67,22896
66.47,31.68,5191.12,22897
145.55,11.5,4152.88,22902
9.74,11.3,2076.45,22903
178.99,64.38,3114.67,22907
143.81,79.38,9005.49,22908
42.25,37.06,1557.33,22909
8.14,0.79,1777.61,22912
392.95,89.48,1557.33,22916
362.01,14.19,7267.55,22920
362.01,14.19,7267.55,22921
155.71,10.14,1557.33,22922
142.73,61.34,1557.33,22926
142.73,61.34,1557.33,22927
115.26,0.92,1557.33,22931
237.19,25.35,3114.67,22932
237.19,25.35,3114.67,22933
237.19,25.35,3114.67,22934
293.2,94.57,519.12,22935
165.9,81.62,3114.67,22936
129.85,66.65,2362.07,22937
137.06,190.61,519.12,22938
221.64,83.86,519.12,22939
59.95,154.33,3114.67,22941
61.43,125.51,519.12,22942
16.34,91.76,3114.67,22943
16.34,91.76,20764.45,22944
250.87,149.37,519.12,22945
250.87,149.37,519.12,22946
184.73,9.13,4152.88,22949
102.66,79.84,5191.12,22950
102.66,79.84,5191.12,22951
305.58,159.5,894.58,22955
197.43,115.02,12458.67,22962
361.19,38.53,2076.45,22963
28.9,29.42,3114.67,22964
302.11,83.14,1557.33,22965
222.32,224.58,3114.67,22966
125.32,138.28,1557.33,22967
171.2,153.35,5595.97,22968
171.2,153.35,5595.97,22969
192.58,60.83,3114.67,22970
248.95,52.47,1557.33,22971
248.95,52.47,1557.33,22972
215.92,12.93,1557.33,22974
200.18,89.48,5191.12,22975
360.86,103.92,3114.67,22977
202.63,78.32,1557.33,22978
146.45,48.67,1557.33,22979
246.89,22.36,31146.67,22980
61.22,262.47,12458.67,22981
49.71,38.02,15573.33,22982
255.47,14.7,1557.33,22985
146.45,48.67,1557.33,22986
0.5,3.32,7469.79,22987
114.59,69.2,1557.33,22988
4.62,22.94,3114.67,22989
376.59,79.84,3114.67,22991
244.93,16.22,20764.45,22992
95.22,207.59,1557.33,22994
95.22,207.59,3114.67,22995
123.2,5.83,10158.5,22997
128.99,4.09,1557.33,22998
119.8,26.11,803.24,22999
322.33,86.39,3114.67,23002
124.7,4.64,11.68,23003
37.27,136.1,1557.33,23005
50.68,540.6,650.92,23012
28.74,29.52,3114.67,23013
87.76,140.61,1557.33,23015
99.81,403.78,3114.67,23016
55.96,0.25,2076.45,23017
101.59,84.41,5191.12,23018
126.3,135.35,519.12,23019
42.93,124.33,519.12,23020
63.56,26.87,9344,23021
157.33,8.87,1557.33,23023
70.34,18,212.64,23024
532.98,44.36,2076.45,23026
60.08,261.33,12458.67,23027
92.52,162.39,1557.33,23028
22.85,34.54,6577.12,23029
227.13,76.94,0,23030
227.13,76.94,1038.21,23031
227.13,76.94,1038.21,23032
57.66,62.85,1557.33,23036
180.18,17.49,2076.45,23039
12.85,58.32,74.4,23040
198.59,90.49,5191.12,23041
198.59,90.49,5191.12,23043
198.59,90.49,3114.67,23044
106.65,82.13,5191.12,23046
344.53,20.53,519.12,23049
42.75,46.83,5191.12,23053
501.92,165.52,2112.59,23057
60.41,0.8,3114.67,23058
60.41,0.8,3114.67,23059
46.4,65.9,1557.33,23073
38.56,47.65,4025.86,23083
747.97,65.84,4867.46,23084
73.49,6.94,1557.33,23142
41.6,61.51,1557.33,23106
641.36,336.38,1812.74,23116
993.35,99,11286.04,23143
73.49,6.94,5191.12,23183
73.49,6.94,1557.33,23157
776.34,31.02,5819.47,23205
48.62,9.13,519.12,23207
206.03,38.42,664.33,23211
320.07,366.81,1689.74,23241
111.74,37.62,703.72,23301
134.87,497.89,480.25,23420
293.72,106.26,1320.51,23429
173.28,94.05,3953.89,23473
632.06,120.46,1453.16,23482
632.06,120.46,1453.16,23484
15.52,18.5,1557.33,23536
583.73,216.52,1441.29,23548
190.08,30.92,369.84,23591
161.21,24.54,1908.59,23609
300.3,11.66,3251.33,23676
1816.63,83.65,738.36,23743
139.34,125.98,1496.01,23823
113.49,48.16,6015.75,23838
209.97,40.56,3395.66,23844
209.97,40.56,3395.66,23845
209.97,40.56,3395.66,23847
341.85,106.71,265.81,23864
616.56,99.85,5414.14,23882
616.56,99.85,5414.14,23883
357.3,235.73,5131.29,23888
357.3,235.73,5131.29,23890
198.9,45.22,625.4,23910
198.9,45.22,625.4,23909
749.84,319.66,1674.35,23981
28.79,29.42,3114.67,23988
616.56,99.85,5414.14,24006
339.09,136.88,9854.79,24037
335.03,105.44,634.28,24180
1407.98,245.53,5140.96,24190
632.18,21.21,1783.21,24198
1034.27,142.28,2650.05,24222
242.41,634.52,541.39,24277
677.02,101.86,1132.23,24316
677.02,101.86,1132.23,24317
677.02,101.86,1132.23,24318
677.02,101.86,1132.23,24319
583.73,216.52,1441.29,24332
583.73,216.52,1441.29,24333
333.11,70.91,2814.64,24399
677.02,101.86,1132.23,24436
677.02,101.86,1132.23,24437
677.02,101.86,1132.23,24438
677.02,101.86,1132.23,24439
463.05,165.89,362.02,24445
205.4,42.08,1045.39,24451
205.4,42.08,1045.39,24455
436.37,180.33,415.1,24466
583.73,216.52,1441.29,24545
512.48,61.63,4565.33,24601
291.82,109.26,4527.83,24602
234.7,167.39,2609.2,24647
291.82,109.26,4527.83,24653
1083.14,52.03,6215.01,24728
248.56,133.07,2004.88,24761
583.73,216.52,1441.29,24764
74.47,47.03,860.88,24766
74.47,47.03,860.88,24767
260.66,68.44,896.96,24885
558.52,70.64,3334.28,24963
260.66,68.44,896.96,25008
97.12,36.5,2815,25040
355.93,12.37,6828.09,25046
632.06,120.46,1453.16,25058
488.7,906.92,3089.85,25220
